线号,行别,公里区间,样本量,max_acc均值,max_accP95,max_accP99,三级及以上占比,车速均值,覆盖天数,z_max_acc均值,z_max_accP95,z_三级及以上占比,原始风险分,样本权重,风险分,质量风险指数,质量等级
3001,上行,3081,3578,0.051028507546115154,0.07,0.1,0.0,122.23951928451649,94,-0.7281942210662492,-1.3269849644704026,-0.2872147846901682,-0.9472842708445134,1.0,-0.9472842708445134,5.57,A(优)
3001,上行,3082,1418,0.051078984485190417,0.08,0.1,0.0007052186177715092,121.14809590973202,100,-0.7086932189543691,-0.3264804277665268,0.09187559870514644,-0.29833397938617695,1.0,-0.29833397938617695,28.61,B(良)
3001,上行,3083,1989,0.05533936651583711,0.08,0.1,0.0,117.86073403720462,100,0.9372409541376262,-0.3264804277665268,-0.2872147846901682,-0.06391974061660656,1.0,-0.06391974061660656,44.56,C(中)
3001,上行,3084,4235,0.057074380165289255,0.08,0.1,0.0,115.83659976387248,100,1.607537241154137,-0.3264804277665268,-0.2872147846901682,0.07013951678669562,1.0,0.07013951678669562,55.95,C(中)
3001,上行,3085,3926,0.05751655629139073,0.08,0.1,0.0005094243504839531,118.87340804890474,100,1.7783653009949056,-0.3264804277665268,-0.013373641717903216,0.17276541449791558,1.0,0.17276541449791558,65.57,D(差)
3001,上行,3086,2957,0.05449780182617518,0.08,0.1,0.00033818058843422386,126.44301657084884,100,0.6121151622208225,-0.3264804277665268,-0.10542575403255706,-0.08349764133556452,1.0,-0.08349764133556452,42.78,C(中)
3001,上行,3087,3625,0.05279172413793103,0.08,0.11,0.0,122.208,100,-0.04700215374546192,-0.3264804277665268,-0.2872147846901682,-0.2607683621932242,1.0,-0.2607683621932242,31.39,B(良)
3001,上行,3088,3481,0.053995978167193336,0.08,0.1,0.0005745475438092502,121.87216317150244,99,0.4182431800270309,-0.3264804277665268,0.021633341511817547,-0.09050726388822919,1.0,-0.09050726388822919,41.52,C(中)
3001,上行,3089,4906,0.056520587036282106,0.08,0.1,0.00020383204239706482,120.05646147574399,100,1.3935876400856033,-0.3264804277665268,-0.17764483694158356,0.05474208351013503,1.0,0.05474208351013503,54.18,C(中)
3001,上行,3090,2986,0.05359008707300737,0.08,0.1,0.0003348961821835231,122.42766242464836,100,0.26143329357349837,-0.3264804277665268,-0.10719128715012931,-0.1540753983444224,1.0,-0.1540753983444224,37.22,B(良)
3001,上行,3091,3562,0.053307130825379,0.08,0.1,0.0,126.47136440202134,100,0.15211742609700327,-0.3264804277665268,-0.2872147846901682,-0.22094444622473114,1.0,-0.22094444622473114,33.92,B(良)
3001,上行,3092,3027,0.05209778658738025,0.08,0.1,0.0,130.75454245127187,98,-0.31509443284793387,-0.3264804277665268,-0.2872147846901682,-0.3143868180137186,1.0,-0.3143868180137186,27.59,B(良)
3001,上行,3093,1726,0.05226535341830823,0.08,0.1,0.0,122.59907300115874,100,-0.2503575216232787,-0.3264804277665268,-0.2872147846901682,-0.30143943576878757,1.0,-0.30143943576878757,28.35,B(良)
3001,上行,3094,2313,0.0590358841331604,0.09,0.12,0.0038910505836575876,116.52010376134889,99,2.365334637760986,0.6740241089373491,1.8044200933431243,1.2948852108035203,1.0,1.2948852108035203,93.92,E(很差)
3001,上行,3095,3258,0.056510128913443834,0.08,0.1,0.0003069367710251688,115.66083486801719,100,1.389547302472196,-0.3264804277665268,-0.12222087319398768,0.06779000692435252,1.0,0.06779000692435252,55.44,C(中)
3001,上行,3096,3829,0.05486288848263254,0.08,0.1,0.0,115.42648211021154,100,0.7531608711925701,-0.3264804277665268,-0.2872147846901682,-0.10073575720561777,1.0,-0.10073575720561777,40.76,C(中)
3001,上行,3097,2556,0.05467136150234742,0.08,0.1,0.0003912363067292645,116.27151799687012,100,0.6791673185832668,-0.3264804277665268,-0.07690564398024795,-0.0629571825499984,1.0,-0.0629571825499984,44.81,C(中)
3001,上行,3098,1360,0.050338235294117656,0.08,0.1,0.0007352941176470588,134.33676470588236,100,-0.9948704674984016,-0.3264804277665268,0.10804268858524074,-0.3515276566249599,0.9652235628105039,-0.3393027771539712,26.08,B(良)
3001,上行,3099,864,0.05018518518518519,0.08,0.1,0.0,132.5150462962963,98,-1.0539990626983877,-0.3264804277665268,-0.2872147846901682,-0.4621677439838094,0.6132008516678495,-0.28340165422428054,29.87,B(良)
4001,单线,4000,1028,0.06318093385214008,0.1,0.16,0.009727626459143969,121.58754863813229,97,1.3930007387356953,1.0000000000000013,2.0731542443845585,1.3468887088432795,0.8145800316957211,1.0971486471401675,91.9,E(很差)
4001,单线,4001,863,0.06257242178447277,0.12899999999999978,0.23,0.03592120509849363,112.51448435689456,90,1.0642710020391848,3.8999999999999804,12.022897847848547,5.363578662369964,0.6838351822503962,3.6678037920961004,99.75,E(很差)
4001,单线,4002,1207,0.05899751449875726,0.09,0.16,0.009942004971002486,117.62800331400166,97,-0.8669615785284733,0.0,2.154586844964002,0.3652543955353058,0.9564183835182251,0.3493360185508036,75.7,D(差)
4001,单线,4003,1257,0.057661097852028644,0.09,0.11,0.002386634844868735,122.793953858393,99,-1.588919146403891,0.0,-0.7153530215714947,-0.4966220846736519,0.9960380348652932,-0.49465448528904943,17.72,A(优)
4001,单线,4004,1232,0.05734577922077923,0.08,0.1538000000000011,0.006493506493506494,133.30357142857142,98,-1.7592602392658252,-1.0,0.8446598532975839,-0.6906870845287691,0.9762282091917591,-0.6742682156413975,12.66,A(优)
4001,单线,4005,1517,0.05763348714568227,0.08,0.13,0.0026367831245880024,135.94792353328938,98,-1.603834972579767,-1.0,-0.6203331206895549,-1.0258502746883422,1.0,-1.0258502746883422,4.05,A(优)
4001,单线,4006,1430,0.06058741258741259,0.09,0.13,0.0034965034965034965,132.05034965034966,97,-0.008068537899902443,0.0,-0.2937646365197931,-0.07505486670992877,1.0,-0.07505486670992877,43.54,C(中)
4001,单线,4007,1433,0.05867411025819958,0.09,0.14,0.0027913468248429866,136.84089323098394,94,-1.0416706705808343,0.0,-0.5616214337866637,-0.34873949256283276,1.0,-0.34873949256283276,25.57,B(良)
4001,单线,4008,1746,0.05926116838487972,0.09,0.12549999999999956,0.004009163802978236,135.69931271477662,98,-0.7245307588796598,0.0,-0.09902841222113547,-0.16966325483121583,1.0,-0.16966325483121583,36.2,B(良)
4001,单线,4009,2822,0.062469879518072285,0.09,0.12,0.005669737774627924,134.6141034727144,99,1.008875728838911,0.0,0.5317477592974614,0.3347120855921476,1.0,0.3347120855921476,74.68,D(差)
4001,单线,4010,1497,0.0585437541750167,0.08,0.19,0.014696058784235137,140.47895791583167,98,-1.1120914940589413,-1.0,3.9604346510242117,0.21769036394426466,1.0,0.21769036394426466,68.86,D(差)
4001,单线,4011,1928,0.05995331950207469,0.09,0.14730000000000018,0.0036307053941908715,136.5399377593361,99,-0.35061762453226286,0.0,-0.24278746797506617,-0.1308203919002191,1.0,-0.1308203919002191,38.23,B(良)
4001,单线,4012,1267,0.059952644041041836,0.09,0.14,0.004735595895816891,135.34254143646407,97,-0.35098252136714536,0.0,0.17690994536602855,-0.02596901793192194,1.0,-0.02596901793192194,48.61,C(中)
4001,单线,4013,1620,0.06046296296296296,0.09,0.16,0.006172839506172839,137.63395061728394,99,-0.07529858057454215,0.0,0.7228531177615679,0.16565356332548353,1.0,0.16565356332548353,64.81,D(差)
4001,单线,4014,1783,0.06441390914189568,0.10899999999999864,0.14,0.0061693774537296695,133.0342120022434,100,2.0590773276658303,1.8999999999998654,0.7215380422376937,1.6371999760925156,1.0,1.6371999760925156,95.44,E(很差)
4001,单线,4015,1121,0.059607493309545054,0.09,0.12,0.001784121320249777,138.68688670829616,88,-0.5374394794361808,0.0,-0.9442203775795879,-0.34354299028213314,0.8882725832012678,-0.30515981941859843,27.85,B(良)
4001,单线,4016,956,0.058274058577405856,0.09,0.12,0.0010460251046025104,137.10355648535565,92,-1.2577861606095675,0.0,-1.224589402426958,-0.557704582728653,0.757527733755943,-0.4224766886597403,21.52,B(良)
4001,单线,4017,1461,0.06056810403832992,0.09,0.13,0.004791238877481177,137.5811088295688,98,-0.018499381581063897,0.0,0.19804617148139378,0.04581166655413567,1.0,0.04581166655413567,53.16,C(中)
